Compound_No,SMILES,Value,FP_12,FP_13,FP_50,FP_336,FP_481,FP_516,FP_653,FP_880,FP_1188,FP_1192,FP_1540,FP_1673,FP_1713,FP_1893,FP_2037,PubchemFP259,PubchemFP308,PubchemFP548,PubchemFP617,PubchemFP639,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D2_C_N,APC2D2_C_O,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_N_O,APC2D6_C_N,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_X,APC2D7_O_O,APC2D8_C_O,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_N_N,APC2D10_C_N,APC2D10_C_S,APC2D10_N_O
78,Cc1ccc(C(CC(=O)OC2CCCN(C)C2)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,5.26,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,30,11,3,15,6,50,15,12,4,16,16,4,47,9,17,3,1,12,49,16,10,0,0,6,45,18,10,1,16,2,0
79,Cc1ccc(C(c2ccc3c(c2)nnn3C)C(C)C(=O)O)cc1CN(C)S(=O)(=O)c1ccccc1,7.26,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,25,5,2,9,4,35,11,12,3,10,10,3,35,7,14,3,0,10,27,14,10,0,0,6,20,6,12,1,3,1,0
80,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OS(=O)(=O)c3c(C)cc(C)cc3C)c2)cc1,6.49,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,29,4,9,8,17,33,8,30,16,6,44,9,42,3,34,5,2,5,37,12,32,0,6,33,44,6,43,0,3,7,0
81,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCC(=O)N3CCC(c4ccccc4)CC3)c2)cc1,6.12,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,32,7,11,11,16,43,9,24,10,9,33,6,46,8,32,3,0,7,39,11,35,0,2,30,40,11,30,0,8,7,2
82,Cc1ccc(C(CCC(=O)N(C)Cc2ccccc2)CC(=O)O)cc1CN1C[C@H](C)Oc2ccccc2S1(=O)=O,6.26,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,29,5,5,5,9,39,8,15,4,8,16,4,38,6,19,3,0,5,37,4,14,0,2,14,35,1,11,1,3,0,0
83,Cc1ccc(C(CC(=O)O)c2ccc(C#N)cc2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,28,3,4,4,8,41,7,12,4,7,14,4,40,5,17,3,0,3,34,5,13,0,0,10,25,3,10,0,3,1,0
84,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(C(F)(F)F)cc2)c2ccccc12)S(=O)(=O)c1ccc(C(F)(F)F)cc1,6.6,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,27,4,4,8,8,32,10,16,10,10,24,8,40,4,28,8,0,4,39,4,24,0,0,12,24,4,16,0,2,4,0
85,Cc1ccc(C(NC(=O)Cc2ccc3c(c2)CCCC3)C2(C(=O)O)CC2)cc1,4.27,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,26,2,3,3,3,31,6,8,0,4,6,0,25,3,13,0,0,3,24,2,7,0,0,8,22,0,4,0,0,0,0
86,CC[C@@H]1CN(Cc2cc(C(c3ccc4c(nnn4C)c3C)C(C)(C)C(=O)O)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,30,5,4,10,8,46,13,17,4,13,14,4,54,7,17,4,0,11,38,17,13,0,0,8,31,6,16,1,3,1,0
87,COc1cc(OC)cc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)c1,5.26,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,26,2,8,3,12,40,5,16,4,5,18,4,40,3,23,3,0,2,35,3,17,0,4,16,26,1,12,0,2,1,0
88,CN(C)C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C(F)(F)F)c2)c1,6.32,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,18,6,3,9,3,25,9,8,0,6,4,0,24,6,4,0,0,6,16,6,6,6,0,5,10,3,5,1,5,0,0
89,Cc1cc(C)c(C)c(S(=O)(=O)Nc2ccc(N3CC[C@H](C(=O)O)C3)c3ccccc23)c1C,6.85,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,25,4,2,7,4,33,9,10,6,10,14,6,29,5,14,3,0,2,30,3,8,0,0,10,19,4,6,0,3,0,0
90,CC(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,6.06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,25,16,15,22,16,33,11,21,0,24,36,0,33,21,26,0,12,11,31,22,39,0,5,27,33,9,29,4,19,0,1
91,Cc1ccccc1S(=O)(=O)CCCCN=C=S,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,4,10,1,6,5,1,8,3,8,0,4,1,0,1,5,2,2,0,0,0,3,1,0,0,0,3,0
92,CC(C)(C)OC(=O)N1CCC(SC(=S)NCCCCNC(=O)Nc2ccc3c(c2)OCCO3)CC1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17,9,8,6,9,21,9,11,5,11,12,4,19,7,6,5,1,5,16,3,4,0,1,4,13,6,4,0,9,5,0
93,CNC(=O)CCC1CC(=O)O[C@H]2CN(Cc3cc1ccc3C)S(=O)(=O)c1ccccc1O2,7.26,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,21,4,6,4,9,32,5,17,4,7,20,3,34,6,20,4,1,4,27,3,16,0,4,10,14,2,4,1,2,0,0
94,Cc1ccc(C(CCc2cnn(C)n2)CC(=O)O)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,23,5,4,10,8,33,8,12,4,8,14,4,32,7,15,3,0,9,28,10,13,0,0,8,21,6,10,1,3,1,0
95,CCC[C@H]1CCCCN1C(=O)c1cccc(-c2cccc(-n3ncc(C(=O)O)c3C3CC3)c2)c1F,7.22,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,28,6,3,12,3,36,13,8,0,9,7,0,40,6,10,0,0,6,32,6,6,3,0,5,26,3,5,1,8,0,0
96,O=C(NCCCCN=C=S)Nc1ccncc1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,8,1,6,0,7,7,2,1,5,3,1,5,4,3,1,0,3,6,1,0,0,0,1,3,3,0,0,3,1,0
97,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc3c(c2)OCO3)c2ccccc12)S(=O)(=O)c1ccc2c(c1)OCO2,6.83,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,25,4,12,8,16,32,10,24,10,10,28,8,40,4,28,8,2,4,39,4,34,0,0,24,24,4,28,0,2,4,2
98,[O-][S+](CCCCN=C=S)c1ccccn1,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,2,6,3,2,4,2,3,3,6,1,2,1,0,2,4,1,1,0,0,0,2,1,0,0,0,2,0
99,O=C(O)CN(c1cnc(N(CC(=O)O)S(=O)(=O)c2ccc(O)cc2)c2ccccc12)S(=O)(=O)c1ccc(O)cc1,6.36,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,23,6,6,9,12,25,12,20,9,15,24,7,35,9,24,6,4,6,32,7,28,0,0,17,18,4,17,0,2,4,0
100,COc1ccc(S(=O)(=O)Nc2ncc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,5.94,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,22,5,6,8,10,26,11,18,8,14,20,7,27,9,20,6,2,5,29,8,21,0,0,10,18,5,11,0,3,4,0
101,CCCCOc1cc(N(CC(=O)O)S(=O)(=O)c2ccc(OC)cc2)ccc1N(CC(=O)O)S(=O)(=O)c1ccc(OC)cc1,6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,23,4,10,8,15,27,8,23,10,7,29,6,39,4,27,3,0,4,30,8,30,0,2,25,30,4,25,0,2,4,0
102,Cc1cccc(S(=O)(=O)N(C)Cc2cc(C(CC(=O)O)c3ccc4c(c3)nnn4C)ccc2Cl)c1,6.26,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,24,5,2,9,4,32,11,10,3,9,10,4,29,8,16,2,0,9,22,11,10,5,0,4,19,5,10,1,1,1,0
103,CC(C)(C)OC(=O)N1CCC(SC(=S)NCCCCNC(=O)OCc2ccccc2Cl)CC1,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,7,6,4,4,18,6,10,5,8,12,4,17,5,7,5,0,4,15,3,3,1,0,2,13,5,2,0,8,5,0
104,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(Br)cc2)c(OCc2ccccc2)c1)S(=O)(=O)c1ccc(Br)cc1,6.23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,27,4,6,8,11,27,8,20,10,7,28,6,40,4,28,3,0,5,36,8,22,4,2,21,33,5,27,0,2,5,0
105,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(C)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)cc2C)cc1,4.99,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,22,4,8,8,12,27,10,20,10,8,26,8,39,2,28,4,0,2,27,6,24,0,0,14,18,4,18,0,2,4,0
106,O=C(CCCCN=C=S)NCc1ccccc1,4.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,3,1,10,4,2,1,4,2,1,7,3,3,1,0,0,6,2,2,0,0,0,4,2,0,0,2,1,0
107,Cc1ccc(C(CC(=O)OC2CCOC2=O)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,5.26,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,29,8,6,13,9,46,14,14,4,15,16,4,45,8,19,3,0,11,47,14,14,0,0,14,37,13,20,1,13,2,2
108,CCC1CN(Cc2cc(C(CC(=O)O)c3ccn(C)c(=O)c3)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,25,5,5,5,9,38,6,16,4,7,16,4,38,5,19,4,0,5,33,5,13,0,2,12,25,1,11,1,2,0,0
109,Cc1ccc(C(CC(=O)O)c2ccn(C)c(=O)c2)cc1CN1CCN(C)c2ccccc2S1(=O)=O,6.26,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,23,8,3,8,5,39,7,13,4,9,14,4,34,6,18,3,0,7,29,8,10,0,2,10,23,3,9,1,5,0,0
110,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c(OCc3ccccc3)c2)cc1,6.35,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,29,4,6,8,11,31,8,20,10,7,28,6,40,4,28,5,0,7,40,8,22,0,2,21,37,5,32,0,2,5,0
111,Cc1ccc(C(CCc2c[nH]nn2)CC(=O)O)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,23,4,4,8,8,31,8,12,4,8,14,4,31,7,15,3,0,9,26,10,13,0,0,8,19,6,8,1,3,1,0
112,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cnc(N(CC(=O)O)S(=O)(=O)c3ccc(F)cc3)c3ccccc23)cc1,6.55,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,23,6,6,9,10,27,12,18,9,15,23,7,36,9,24,6,4,6,32,8,28,2,0,15,21,4,14,0,3,4,0
113,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(C(F)(F)F)cc2)c(OCc2ccccc2)c1)S(=O)(=O)c1ccc(C(F)(F)F)cc1,5.75,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,29,4,6,8,11,31,8,20,10,7,28,6,40,4,28,5,0,7,40,8,22,0,2,21,37,5,32,0,2,5,0
114,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)nnn3C)cc1CN1C[C@@H](C)Oc2ccc(C#N)cc2S1(=O)=O,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,27,6,4,11,8,40,14,12,4,12,14,5,37,9,20,3,0,9,33,14,13,0,0,8,27,8,12,1,6,1,0
115,CN(Cc1cc([C@@H](CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(=O)(=O)c1ccccc1,6.26,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,23,5,2,9,4,30,11,10,3,9,10,3,29,7,14,2,0,9,21,11,10,5,0,4,17,5,10,1,1,1,0
116,CCn1cc(CCC(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Cc4ccccc4S3(=O)=O)c2)nn1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,26,5,2,10,4,35,11,10,5,9,14,4,34,7,14,3,0,9,32,10,10,0,0,6,26,6,8,1,3,1,0
117,O=C(O)CN(c1ccc(OC(C(=O)O)c2ccccc2)c2ccccc12)S(=O)(=O)c1ccc(F)cc1,5.29,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,26,2,6,4,10,31,5,15,5,5,23,4,37,2,24,3,1,1,34,2,20,2,2,10,18,2,10,0,1,2,0
118,Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccc(C(C)(C)C)cc3)c3ccccc23)c(C)c1,4.72,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,33,2,6,4,10,45,5,15,7,7,27,4,45,2,24,4,1,2,46,2,29,0,2,16,32,2,14,0,1,2,0
119,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c(O[C@@H](C)C(=O)O)c2)cc1,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,24,4,8,8,14,27,8,20,10,7,28,6,36,5,31,5,0,6,33,4,28,0,2,27,25,4,30,0,2,4,0
120,COC(=O)CC(c1ccc(C)c(CN2CCN(C)c3ccccc3S2(=O)=O)c1)c1ccc2c(nnn2C)c1C,5.26,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,26,8,3,13,4,44,14,11,4,15,12,4,42,8,16,3,0,11,37,14,10,0,0,6,26,11,10,1,6,2,0
121,CC(C)c1ccc(S(=O)(=O)Nc2cc(Sc3nc[nH]n3)c(O)c3ccccc23)cc1,5.54,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,20,5,1,5,4,24,7,9,7,10,12,6,17,9,9,6,3,7,20,9,9,0,2,2,16,6,4,0,6,1,0
122,CC[C@@H]1CN(Cc2cc(C(CCc3cn(CC)nn3)CC(=O)O)ccc2C)S(=O)(=O)c2cccnc2O1,6.26,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,23,7,4,12,7,32,12,13,3,11,12,4,34,9,15,4,0,10,30,12,13,0,0,8,24,8,10,1,5,1,0
123,CC(C)(C)OC(=O)N1CCC(SC(=S)NCCCCNC(=O)Nc2cccnc2)CC1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,11,4,8,3,16,9,7,5,12,10,4,17,5,4,5,1,5,14,3,2,0,0,1,10,7,2,0,8,5,0
124,CNC(=O)NCCCCN=C=S,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,2,0,3,4,2,1,3,1,1,3,1,1,1,0,3,2,0,0,0,0,1,1,0,0,0,0,1,0
125,Cc1ccc(C(CC(=O)O)c2cccc(=O)n2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,24,5,5,6,9,36,8,15,4,8,16,4,37,5,17,3,2,4,30,3,15,0,2,10,21,3,9,0,3,1,1
126,Cc1ccc([C@@H](NC(=O)Cc2ccc(Cc3cccc(C)n3)cc2)[C@@H](C)C(=O)O)cc1.Cl,6.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,26,4,3,7,3,32,7,6,0,6,6,0,27,5,12,0,0,3,27,2,6,0,0,8,18,1,5,1,3,0,0
127,CCCn1cc(CCC(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)nn1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,25,5,4,10,8,33,11,12,4,10,14,4,34,8,15,3,0,9,30,10,13,0,0,8,26,6,10,1,3,1,0
128,CS(=O)(=O)Nc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(NS(C)(=O)=O)cc3)c3ccccc23)cc1,6.71,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,25,6,4,14,12,30,14,20,14,12,32,12,44,4,36,8,0,2,35,8,24,0,0,16,22,10,20,0,8,10,0
129,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cc(CCC(=O)NC(C)C)c(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.24,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,30,6,9,11,13,40,12,22,10,13,29,9,55,8,32,8,0,5,55,10,43,0,0,29,43,11,28,0,6,6,2
130,Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C)cc3)c(OCCN3C(=O)c4ccccc4C3=O)c2)cc1,6.64,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,31,7,8,11,13,37,10,26,10,10,34,6,40,6,31,5,0,7,40,8,28,0,2,21,39,12,28,0,10,8,2
131,CC(C)(C)OC(=O)N1CCC(SC(=S)NCCCCNC(=O)Nc2ccncc2)CC1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,11,4,8,3,16,10,7,5,10,10,4,16,7,5,5,0,3,14,3,2,0,0,1,10,7,2,0,10,5,0
132,CC(C)(C)OC(=O)N1CCC(SC(=O)NCCCCN=C=S)CC1,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,4,4,3,12,5,7,4,7,10,2,13,3,5,3,0,2,9,2,3,0,0,1,7,4,3,0,6,1,0
133,COc1ccc(S(=O)(=O)Nc2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,7.21,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,24,3,6,7,10,28,10,18,9,10,22,8,32,4,22,6,0,1,32,5,21,0,0,11,19,4,12,0,2,4,0
134,CCN1CCN(Cc2cc(C(CC(=O)O)c3ccc4c(c3)nnn4C)ccc2C)S(=O)(=O)c2ccccc21,7.26,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,26,8,2,14,4,42,13,10,4,13,12,4,38,9,16,4,0,11,31,14,10,0,0,6,27,8,10,1,6,1,0
135,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccc(OC)c3)c3ccccc23)cc1,6.39,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,23,2,4,6,8,24,10,16,8,10,18,8,22,4,16,7,1,1,31,3,9,0,0,5,16,4,10,0,2,4,1
136,O=S(=O)(CC1(c2ccc(N=C=S)cc2)COC1)c1ccccc1,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,2,2,2,5,19,2,8,6,1,12,5,15,1,9,4,0,3,15,0,4,0,0,2,5,2,2,0,2,1,0
137,Cc1c(C(CC(=O)O)c2ccc(F)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)ccc2c1nnn2C,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,26,5,4,10,8,38,13,12,4,11,14,4,39,7,17,2,0,9,27,11,12,6,0,6,23,5,12,1,1,1,0
138,COc1ccc(S(=O)(=O)Cc2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,6.16,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,25,2,6,4,12,33,5,18,9,5,22,8,34,3,22,6,0,0,35,2,23,0,0,13,21,2,12,0,1,4,0
139,O=C(O)CN(c1ccc(OC(C(=O)O)c2ccccc2)c2ccccc12)S(=O)(=O)c1ccccc1,4.75,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,26,2,6,4,10,31,5,15,5,5,23,4,37,2,24,3,1,1,34,2,20,0,2,10,18,2,10,0,1,2,0
140,COc1cc(C(CC(=O)O)c2ccc(C)c(CN3CCOc4ncccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,23,7,6,12,8,37,13,14,3,11,15,3,36,10,17,3,0,10,29,13,15,0,2,12,22,8,13,1,6,1,0
141,COc1cncc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)c1,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,0,24,4,6,5,10,36,7,13,4,8,16,4,35,6,19,3,0,4,30,5,15,0,2,12,23,2,11,0,3,1,2
142,NC(=O)[C@H]1CC[C@H]1C(=O)N1CCc2c(OCCO)cccc2[C@H]1CN1C(=O)c2ccccc2C1=O,5.6,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,25,7,7,8,8,35,9,17,0,14,17,0,36,7,9,0,6,8,35,9,20,0,3,16,27,4,18,0,3,0,3
143,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)cc2)cc1,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,20,4,8,8,12,23,8,20,10,6,26,6,32,2,24,2,0,2,19,6,20,0,0,14,16,4,16,0,2,4,0
144,CC[C@@H]1CN(Cc2cc(C(CC(=O)O)c3ccc(C#N)cc3F)ccc2C)S(=O)(=O)c2ccccc2O1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,28,3,4,4,8,39,7,13,4,8,14,4,40,4,17,4,0,3,35,5,13,2,0,10,26,3,10,0,3,1,0
145,COc1cc(C(CC(=O)O)c2ccc(C(F)(F)F)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,26,5,6,10,10,40,12,14,4,11,17,4,40,9,19,3,0,9,34,11,15,12,2,12,26,6,13,1,4,1,0
146,Cc1c(C(CC(=O)O)c2ccc(F)c(CN3C[C@@H](C)Oc4ncccc4S3(=O)=O)c2)ccc2c1nnn2C,7.26,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,24,7,4,12,7,36,15,12,3,12,12,4,38,8,17,2,0,10,25,13,12,6,0,6,21,7,12,1,3,1,0
147,Cc1c(C(CC(=O)O)c2ccc(C(F)(F)F)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)ccc2c1nnn2C,7.26,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,27,5,4,10,8,41,13,12,4,12,14,4,41,7,17,3,0,9,33,11,13,12,0,8,25,6,12,1,3,1,0
148,COc1ccc2c(c1)CC(C)CN(Cc1cc(C(CC(=O)O)c3ccc(C#N)cc3C)ccc1C)S2(=O)=O,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,30,3,4,4,6,45,8,12,5,7,16,4,43,5,17,3,0,3,39,6,13,0,0,9,28,3,10,0,3,1,0
149,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,6.54,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,29,14,18,20,19,36,11,23,0,22,37,0,34,22,31,0,14,10,37,19,46,0,7,38,39,9,37,4,16,0,1
150,CCCC1CCCCN1C(=O)C1CCCC(c2cccc(-n3ncc(C(=O)O)c3C3CC3)c2)C1,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,28,6,3,12,3,36,13,8,0,9,7,0,40,6,10,0,0,6,32,6,6,0,0,5,26,3,5,1,8,0,0
151,Cc1ccc([C@@H](NC(=O)[C@@H](O)c2ccccc2)[C@@H](C)C(=O)O)cc1,4.02,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,19,2,4,3,5,21,5,8,0,4,9,0,17,3,15,0,0,2,19,0,7,0,2,8,11,0,5,0,0,0,0
152,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)nnn3CCNC(=O)OC(C)(C)C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,30,7,7,12,11,43,14,15,4,16,19,4,44,10,17,3,2,13,35,16,17,0,0,12,36,11,14,1,6,1,0
153,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)nnn3C)cc1CN1CC(C)Cc2cc(CCCN)ccc2S1(=O)=O,7.26,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,31,6,2,11,4,45,14,10,5,11,14,4,43,9,16,4,0,12,38,14,12,0,0,8,30,8,10,2,4,1,0
